id,created_at,name,suburb,address,courts,price,booking_url,lat,lng,city,state,photo_url,opening_hours,open_hour,close_hour,google_rating,google_review_count,open_hour_weekend,close_hour_weekend,min_duration,peak_start_hour,peak_end_hour,late_night_hour,late_night_price,place_id
1,2026-03-06 09:17:47.320383+00,Mitcham Badminton,Mitcham,"Unit 1/613 Whitehorse Rd, Mitcham VIC 3132, Australia",12,$20-$27/hr,https://www.mitchambadminton.com.au/,-37.8152276,145.2033228,Mitcham,VIC,https://lh3.googleusercontent.com/places/ANXAkqEreypkrGgvPSZgdkc7r9OPOQ44Hwh_iEZKgE7Co0mtGABQwQAQNlZQqvKxJHpJ29sifHJCWJi4HlF87bKLci1IWr02NMgo5ws=s1600-w800,Mon–Sun 9am – midnight,9,24,4.5,346,,,,,,,,ChIJ6bKwsBQ51moRMFQeertKzyI
2,2026-03-06 09:19:59.487184+00,Melbourne Badminton Centre,Blackburn North,"Melbourne Badminton Centre, 6-16 Joseph St, Blackburn North VIC 3130, Australia",9,$20-$34/hr,https://melbournebadminton.yepbooking.com.au/,-37.7999163,145.1439092,Melbourne,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNEvj6i6Opc6f1GhJwQCvydqfHdK1u88dKa9Km5OntS63Lfj5iTIV9KrprJQD3fspvlbcIHAq_6U8cKF16wcTVyRcklDfQp8WylVtymXm7jNh3phm_7GgXtsViRmr9GZRcOdgf81R9du0T6t-hw=s1600-w800,Mon–Sun 8am – 11pm,8,23,4.1,323,,,,,,,,ChIJgcaaEaI41moRPNI5i2fhRYs
3,2026-03-06 09:22:09.501862+00,Doncaster East Badminton Centre,Doncaster East,"350 Blackburn Rd, Doncaster East VIC 3109, Australia",12,$26-$34/hr,https://doncaster-east-badminton.yepbooking.com.au/,-37.7758198,145.1652511,Doncaster East,VIC,https://lh3.googleusercontent.com/places/ANXAkqFKAgUU6zLMWrlZ7a-fqqaOaXy0OYULnK6MjOuSaxvuf-gvvlOucYatnEBulXvckZxdX7pFzb_tnjgY6l_yoQaxLRjrMxAZbQQ=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.6,14,,,,,,,,ChIJD8LIL_Q51moR0FHRWIcAD44
5,2026-03-14 11:00:12.321965+00,Unique Badminton Centre,Oakleigh South,"31 Atherton Rd, Oakleigh VIC 3166, Australia",22,$25/hr,https://www.uniquebadminton.com.au/,-37.8986103,145.0906698,Oakleigh South,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNGg0uXzI6YA3PNtb2jeph2qvmdm96uqSUDUumjDK7T9mEI6O6IBpqw44KfjVmVZq0NV0bOi5AfXwrvrcTsz5eCYlBRGZDRF5v9w9b0sSdtaq7JnAdPVwee4yaXmPLnvbuueLW8I1xZ8POsNcQ=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.4,374,,,,,,,,ChIJk3XvpgwV1moR3r8Y8ttSiFM
6,2026-03-14 11:00:12.321965+00,MSAC Badminton,Albert Park,"30 Aughtie Dr, Albert Park VIC 3206, Australia",12,$28/hr,https://statesportcentres.com.au/sports/badminton/,-37.842635,144.961629,Albert Park,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNEy77jILTJZOZFRVT5mQwxRcg2Xh5cUNjVoEm7E_-D-P_ja88l7UEWbG9Pz1g9X1EaispN4E4oguQ-t-rziX8Y6VbWImCtXxZmAr2JsgZ3meXGh_sVK8D5JBiwzC6fsqlyadJ7M2cLzH4I=s1600-w800,Mon–Sun 9am – 11pm,9,23,4.3,60,,,,,,,,ChIJLxl-lltp1moRf4Abe2_J048
7,2026-03-14 11:00:12.321965+00,Badminton Connect Noble Park,Noble Park,"46 Melverton Dr, Hallam VIC 3803, Australia",12,$22/hr,https://bc.sportlogic.net.au/secure/customer/booking/v1/public/show,-38.0102411,145.27578,Noble Park,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNGg8AWDxNUZuyTyAwe1_5HXhoAZvAIahBysSlHZRGatIngG2A1r4wTyMs6ji1Br7SMoCGhCjW8ESdjuVsA0koZbDJWnaI4Z7Wi2wrn7clwtrhnjqCELp8HA7LXpbmrhgvFix9L78yGIXMos-zq5nDZhlg=s1600-w800,"Mon-Fri 9am - 11pm, Sat-Sun 8am - 11pm",9,23,4.7,446,8,23,,,,,,ChIJ80CrP1kU1moRfmSFWC17fyE
8,2026-03-14 11:00:12.321965+00,Badminton Connect Hallam,Hallam,"22 Technology Cct, Hallam VIC 3803, Australia",8,$22/hr,https://bc.sportlogic.net.au/secure/customer/booking/v1/public/show,-38.0100569,145.2594638,Hallam,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNG0G86Z1Ubmi5W1sj0XOe8NMXBFovIu0fh6uhmhDVvUYXcVbrFy5A7EZnb4lekQjT7smXdm7mT6URFQR77IKT0qzzqb94-73eefQZQ23wMDDYu0u4ctd4nBG3KMMqrtr5fudYITM4Q4L7bRDA=s1600-w800,"Mon-Fri 4pm - 11pm, Sat-Sun 8am - 11pm",16,23,4.5,328,8,23,,,,,,ChIJf8Wm1S0R1moR-4PbU1Ep8iA
9,2026-03-14 11:00:12.321965+00,BTTC Truganina,Truganina,"1/300 Leakes Rd, Truganina VIC 3029, Australia",14,$18-$28/hr,https://bttc.com.au/book/,-37.8389233,144.7436141,Truganina,VIC,https://lh3.googleusercontent.com/places/ANXAkqFW8h9UtUoeHWvxf9RwVvmM0X9IK5ijsazYzihrm3-y2diBP9vRfbUI3eXepvM7Za4cnZ4zZulSEh7ZdlOOsF4LxwkSXAQ9MHE=s1600-w800,"Mon-Fri 10am - 11pm, Sat-Sun 7am - 11pm",10,23,4.3,197,7,23,,,,,,ChIJiVVoCQP11moR0TNgipvpaFA
10,2026-03-14 11:00:12.321965+00,Sunshine Badminton Centre,Sunshine North,"1/62 Eastern Rd, South Melbourne VIC 3205, Australia",8,$15-$29/hr,https://sunshinebadminton.com.au/,-37.8333021,144.965527,Sunshine North,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNG0LgtBlZmshBN1vHzR4cFFMmkvByAC8x7BBw688jeBgXtrLkaKq51jeoY8wrpQd8g9wd4VjmBL0L87pe0re2kXGHHKIr9pF5Mh87Ik_v2_LPb_-S8FOlFXJMNsfqUnIS0dqMTcYQX7iA4S3Q=s1600-w800,Mon-Sun 6am - 11pm,6,23,4.7,88,,,,,,,,ChIJ24BeVgBf1moRPZs3vvFAFgM
12,2026-03-14 11:00:12.321965+00,Altona Badminton Centre,Altona,"131 Blyth St, Altona VIC 3018, Australia",12,$16-$29/hr,https://wsbaonline.yepbooking.com.au/,-37.8687422,144.8186648,Altona,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNEKxcAzaikyB7nOZ0RX-X1-eQsiNjdD1L6Uq-cFNdoc-k92SSNd76eXPNd9yZCTnrtrN2wxI7rM0_uDjvmPR-oze3OgEP8bbWul106aEbpk97eMNJK6vieNajYiZ8ZHvkmqequCGRapHNfZRA=s1600-w800,"Mon-Fri 10am - 11pm, Sat-Sun 8am - 9pm",10,23,4.5,329,8,21,,16,22,,,ChIJ6xSYcyNh1moRu0B8Ot338zQ
13,2026-03-14 11:00:12.321965+00,Mount Waverley Badminton Centre,Mount Waverley,"47 Miller Cres, Mount Waverley VIC 3149",8,$20/hr,https://www.mountwaverleybadminton.com/,-37.8768,145.1268,Mount Waverley,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNGcZTQaVa8r3AHEtl_iRCdT0BOs4CeBNb2XZq-BNqgltW86StazUkd6evgh64AOpLqpjUQchKZioJPnAzCUe86mQTlr7ZlNb9PacYisgqtM9eZOrKgf1x3kxoBwyPoAaU1u700AhWPLsiOW4w=s1600-w800,Mon–Sun 9am – 10pm,9,22,3.6,319,,,,,,,,ChIJdxGaIa5q1moR-2KOBWSa7gs
14,2026-03-14 11:00:12.321965+00,Doncaster Badminton Centre,Doncaster,"687 Doncaster Rd, Doncaster VIC 3108, Australia",8,$20/hr,https://activemanningham.com.au/stadium-bookings/,-37.7865994,145.1319862,Doncaster,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNHBv6_6HUZzWEo7mQC0gJ3TS47bN0kLv8Ai3dtavyz8gw-pZixLml0al3yS7X90eEJdNF_-kIzpgWLy6Z5jwuQjfzaTm-8ya_FBkRitX3hiK25LMYpvTuh6dPccgRSJFQOaqednYez5gl1pG-Q=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.0,10,,,,,,,,ChIJO5b6gnNH1moR5R-Tal-Buis
15,2026-03-14 11:00:12.321965+00,WSBA Stadium,Footscray,"138 Kinnear St, Footscray VIC 3011, Australia",12,$20/hr,https://wsba.com.au/,-37.7908579,144.8908901,Footscray,VIC,https://lh3.googleusercontent.com/place-photos/AL8-SNEsemGECR4FNVOitGv0CfpApAcYuUXBtLMkAPr-NjCyP12B28Iwv2sf5nL6fvux4hwwcdG86otAV76gIWbHv6ZCySlyMFYvuCKhW4v4-3zJbOqNYAef6esbgAUSX2cFW1draHXrHLT4E_8RVvs=s1600-w800,Mon–Sun 9am – 10pm,9,22,4.3,24,,,,,,,,ChIJZ2EAhgRd1moRrwRQrTxOW9M
